"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"FRA","France","W","Women","TOTAL","Total","2018","2018",34567729,,
"FRA","France","M","Men","TOTAL","Total","2018","2018",32373969,,
"FRA","France","T","Total","TOTAL","Total","2018","2018",66941698,,
"DEU","Germany","W","Women","TOTAL","Total","2018","2018",42005398,,
"DEU","Germany","M","Men","TOTAL","Total","2018","2018",40908793,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",82914191,,
"ESP","Spain","W","Women","TOTAL","Total","2018","2018",23818952,,
"ESP","Spain","M","Men","TOTAL","Total","2018","2018",22914086,,
"ESP","Spain","T","Total","TOTAL","Total","2018","2018",46733038,,
"ISR","Israel","W","Women","TOTAL","Total","2018","2018",4468198,,
"ISR","Israel","M","Men","TOTAL","Total","2018","2018",4404745,,
"ISR","Israel","T","Total","TOTAL","Total","2018","2018",8872943,,
"FRA","France","W","Women","0_4","0 to 4","2018","2018",1842511,,
"FRA","France","M","Men","0_4","0 to 4","2018","2018",1918093,,
"FRA","France","T","Total","0_4","0 to 4","2018","2018",3760604,,
"DEU","Germany","W","Women","0_4","0 to 4","2018","2018",1891276,,
"DEU","Germany","M","Men","0_4","0 to 4","2018","2018",1993308,,
"DEU","Germany","T","Total","0_4","0 to 4","2018","2018",3884584,,
"ESP","Spain","W","Women","0_4","0 to 4","2018","2018",1009262,,
"ESP","Spain","M","Men","0_4","0 to 4","2018","2018",1070773,,
"ESP","Spain","T","Total","0_4","0 to 4","2018","2018",2080034,,
"ISR","Israel","W","Women","0_4","0 to 4","2018","2018",444416,,
"ISR","Israel","M","Men","0_4","0 to 4","2018","2018",471165,,
"ISR","Israel","T","Total","0_4","0 to 4","2018","2018",915581,,
"FRA","France","W","Women","05_9","5 to 9","2018","2018",2020179,,
"FRA","France","M","Men","05_9","5 to 9","2018","2018",2112047,,
"FRA","France","T","Total","05_9","5 to 9","2018","2018",4132226,,
"DEU","Germany","W","Women","05_9","5 to 9","2018","2018",1777070,,
"DEU","Germany","M","Men","05_9","5 to 9","2018","2018",1878288,,
"DEU","Germany","T","Total","05_9","5 to 9","2018","2018",3655358,,
"ESP","Spain","W","Women","05_9","5 to 9","2018","2018",1156139,,
"ESP","Spain","M","Men","05_9","5 to 9","2018","2018",1231711,,
"ESP","Spain","T","Total","05_9","5 to 9","2018","2018",2387850,,
"ISR","Israel","W","Women","05_9","5 to 9","2018","2018",412609,,
"ISR","Israel","M","Men","05_9","5 to 9","2018","2018",433166,,
"ISR","Israel","T","Total","05_9","5 to 9","2018","2018",845775,,
"FRA","France","W","Women","10_14","10 to 14","2018","2018",2039996,,
"FRA","France","M","Men","10_14","10 to 14","2018","2018",2133573,,
"FRA","France","T","Total","10_14","10 to 14","2018","2018",4173569,,
"DEU","Germany","W","Women","10_14","10 to 14","2018","2018",1793337,,
"DEU","Germany","M","Men","10_14","10 to 14","2018","2018",1900918,,
"DEU","Germany","T","Total","10_14","10 to 14","2018","2018",3694255,,
"ESP","Spain","W","Women","10_14","10 to 14","2018","2018",1199068,,
"ESP","Spain","M","Men","10_14","10 to 14","2018","2018",1275443,,
"ESP","Spain","T","Total","10_14","10 to 14","2018","2018",2474510,,
"ISR","Israel","W","Women","10_14","10 to 14","2018","2018",368910,,
"ISR","Israel","M","Men","10_14","10 to 14","2018","2018",387846,,
"ISR","Israel","T","Total","10_14","10 to 14","2018","2018",756756,,
"FRA","France","W","Women","15_19","15 to 19","2018","2018",2016630,,
"FRA","France","M","Men","15_19","15 to 19","2018","2018",2119972,,
"FRA","France","T","Total","15_19","15 to 19","2018","2018",4136602,,
"DEU","Germany","W","Women","15_19","15 to 19","2018","2018",1935156,,
"DEU","Germany","M","Men","15_19","15 to 19","2018","2018",2108420,,
"DEU","Germany","T","Total","15_19","15 to 19","2018","2018",4043576,,
"ESP","Spain","W","Women","15_19","15 to 19","2018","2018",1111584,,
"ESP","Spain","M","Men","15_19","15 to 19","2018","2018",1183181,,
"ESP","Spain","T","Total","15_19","15 to 19","2018","2018",2294765,,
"ISR","Israel","W","Women","15_19","15 to 19","2018","2018",340953,,
"ISR","Israel","M","Men","15_19","15 to 19","2018","2018",357304,,
"ISR","Israel","T","Total","15_19","15 to 19","2018","2018",698257,,
"FRA","France","W","Women","20_24","20 to 24","2018","2018",1849176,,
"FRA","France","M","Men","20_24","20 to 24","2018","2018",1888435,,
"FRA","France","T","Total","20_24","20 to 24","2018","2018",3737611,,
"DEU","Germany","W","Women","20_24","20 to 24","2018","2018",2191290,,
"DEU","Germany","M","Men","20_24","20 to 24","2018","2018",2414789,,
"DEU","Germany","T","Total","20_24","20 to 24","2018","2018",4606079,,
"ESP","Spain","W","Women","20_24","20 to 24","2018","2018",1110461,,
"ESP","Spain","M","Men","20_24","20 to 24","2018","2018",1158606,,
"ESP","Spain","T","Total","20_24","20 to 24","2018","2018",2269064,,
"ISR","Israel","W","Women","20_24","20 to 24","2018","2018",311586,,
"ISR","Israel","M","Men","20_24","20 to 24","2018","2018",323752,,
"ISR","Israel","T","Total","20_24","20 to 24","2018","2018",635338,,
"FRA","France","W","Women","25_29","25 to 29","2018","2018",1941503,,
"FRA","France","M","Men","25_29","25 to 29","2018","2018",1895482,,
"FRA","France","T","Total","25_29","25 to 29","2018","2018",3836985,,
"DEU","Germany","W","Women","25_29","25 to 29","2018","2018",2522951,,
"DEU","Germany","M","Men","25_29","25 to 29","2018","2018",2721571,,
"DEU","Germany","T","Total","25_29","25 to 29","2018","2018",5244522,,
"ESP","Spain","W","Women","25_29","25 to 29","2018","2018",1246173,,
"ESP","Spain","M","Men","25_29","25 to 29","2018","2018",1265805,,
"ESP","Spain","T","Total","25_29","25 to 29","2018","2018",2511977,,
"ISR","Israel","W","Women","25_29","25 to 29","2018","2018",300842,,
"ISR","Israel","M","Men","25_29","25 to 29","2018","2018",307267,,
"ISR","Israel","T","Total","25_29","25 to 29","2018","2018",608109,,
"FRA","France","W","Women","30_34","30 to 34","2018","2018",2080180,,
"FRA","France","M","Men","30_34","30 to 34","2018","2018",1973348,,
